service_id, service_type, service_provider_name, service_name, default_authority, EIT_schedule_flag, EIT_present_following_flag, running_status, free_CA_mode
102, 25, "", "RTP1", "", 1, 1, 4, 0
108, 25, "", "RTP2", "", 1, 1, 4, 0
202, 25, "", "SIC", "", 1, 1, 4, 0
206, 25, "", "SIC NotŦcias", "", 1, 1, 4, 0
304, 25, "", "TVI", "", 1, 1, 4, 0
112, 25, "", "RTP3", "", 1, 1, 4, 0
462, 25, "", "11", "", 1, 1, 4, 0
702, 25, "", "CMTV", "", 1, 1, 4, 0
1202, 25, "", "Sporting TV HD", "", 1, 1, 4, 0
1302, 25, "", "Eurosport 1", "", 1, 1, 4, 0
1809, 22, "", "Gametoon HD", "", 1, 1, 4, 0
113, 22, "", "RTP Memðria", "", 1, 1, 4, 0
305, 22, "", "CNN Portugal", "", 1, 1, 4, 0
502, 25, "", "STAR Channel", "", 1, 1, 4, 0
1001, 22, "", "Canal Q", "", 1, 1, 4, 0
2202, 25, "", "AXN HD", "", 1, 1, 4, 0
2302, 25, "", "SyFy", "", 1, 1, 4, 0
5405, 22, "", "France 24 (F)", "", 1, 1, 4, 0
210, 25, "", "SIC K", "", 1, 1, 4, 0
218, 25, "", "SIC Mulher", "", 1, 1, 4, 0
1401, 22, "", "Disney Channel", "", 1, 1, 4, 0
1514, 25, "", "Travel XP HD", "", 1, 1, 4, 0
2017, 22, "", "Biggs", "", 1, 1, 4, 0
3302, 25, "", "Localvisªo TV", "", 1, 1, 4, 0
5009, 22, "", "UM Europa", "", 1, 1, 4, 0
506, 25, "", "STAR Movies", "", 1, 1, 4, 0
509, 22, "", "STAR Life", "", 1, 1, 4, 0
513, 22, "", "STAR Crime", "", 1, 1, 4, 0
1801, 22, "", "Cartoon Network", "", 1, 1, 4, 0
2025, 22, "", "Nickelodeon", "", 1, 1, 4, 0
2105, 22, "", "AMC Break", "", 1, 1, 4, 0
2204, 22, "", "AXN White", "", 1, 1, 4, 0
2208, 22, "", "AXN Movies", "", 1, 1, 4, 0
2401, 22, "", "MTV Portugal", "", 1, 1, 4, 0
2605, 22, "", "TLC", "", 1, 1, 4, 0
507, 22, "", "24 Kitchen", "", 1, 1, 4, 0
525, 22, "", "National Geographic", "", 1, 1, 4, 0
