service_id, service_type, channel, visible, transport_stream_id, original_network_id, default_authority, carrier_frequency, bandwidth
102, 25, 1, 1, 10101, 1329, "", 474000, 8
108, 25, 2, 1, 10101, 1329, "", 474000, 8
202, 25, 3, 1, 10101, 1329, "", 474000, 8
206, 25, 5, 1, 10101, 1329, "", 474000, 8
304, 25, 4, 1, 10101, 1329, "", 474000, 8
112, 25, 6, 1, 10201, 1329, "", 482000, 8
462, 25, 11, 1, 10201, 1329, "", 482000, 8
702, 25, 8, 1, 10201, 1329, "", 482000, 8
1202, 25, 36, 1, 10201, 1329, "", 482000, 8
1302, 25, 38, 1, 10201, 1329, "", 482000, 8
1809, 22, 110, 1, 10201, 1329, "", 482000, 8
113, 22, 100, 1, 10301, 1329, "", 490000, 8
305, 22, 7, 1, 10301, 1329, "", 490000, 8
502, 25, 70, 1, 10301, 1329, "", 490000, 8
1001, 22, 101, 1, 10301, 1329, "", 490000, 8
2202, 25, 74, 1, 10301, 1329, "", 490000, 8
2302, 25, 76, 1, 10301, 1329, "", 490000, 8
5405, 22, 255, 1, 10301, 1329, "", 490000, 8
210, 25, 43, 1, 10401, 1329, "", 498000, 8
218, 25, 14, 1, 10401, 1329, "", 498000, 8
1401, 22, 40, 1, 10401, 1329, "", 498000, 8
1514, 25, 124, 1, 10401, 1329, "", 498000, 8
2017, 22, 78, 1, 10401, 1329, "", 498000, 8
3302, 25, 163, 1, 10401, 1329, "", 498000, 8
5009, 22, 184, 1, 10401, 1329, "", 498000, 8
506, 25, 62, 1, 10501, 1329, "", 506000, 8
509, 22, 71, 1, 10501, 1329, "", 506000, 8
513, 22, 72, 1, 10501, 1329, "", 506000, 8
1801, 22, 41, 1, 10501, 1329, "", 506000, 8
2025, 22, 44, 1, 10501, 1329, "", 506000, 8
2105, 22, 107, 1, 10501, 1329, "", 506000, 8
2204, 22, 75, 1, 10501, 1329, "", 506000, 8
2208, 22, 64, 1, 10501, 1329, "", 506000, 8
2401, 22, 106, 1, 10501, 1329, "", 506000, 8
2605, 22, 118, 1, 10501, 1329, "", 506000, 8
507, 22, 123, 1, 10601, 1329, "", 514000, 8
525, 22, 95, 1, 10601, 1329, "", 514000, 8
2009, 22, 92, 1, 10601, 1329, "", 514000, 8
2101, 22, 91, 1, 10601, 1329, "", 514000, 8
2405, 22, 130, 1, 10601, 1329, "", 514000, 8
2601, 22, 90, 1, 10601, 1329, "", 514000, 8
2701, 22, 136, 1, 10601, 1329, "", 514000, 8
4001, 22, 225, 1, 10601, 1329, "", 514000, 8
4009, 22, 77, 1, 10601, 1329, "", 514000, 8
6005, 22, 254, 1, 10601, 1329, "", 514000, 8
6401, 22, 228, 1, 10601, 1329, "", 514000, 8
7201, 22, 249, 1, 10601, 1329, "", 514000, 8
125, 22, 196, 1, 10701, 1329, "", 522000, 8
801, 22, 34, 1, 10701, 1329, "", 522000, 8
2901, 22, 206, 1, 10701, 1329, "", 522000, 8
3001, 22, 250, 1, 10701, 1329, "", 522000, 8
3401, 22, 126, 1, 10701, 1329, "", 522000, 8
4501, 22, 213, 1, 10701, 1329, "", 522000, 8
4802, 25, 108, 1, 10701, 1329, "", 522000, 8
9810, 25, 139, 1, 10701, 1329, "", 522000, 8
4201, 2, 511, 1, 10801, 1329, "", 530000, 8
4209, 2, 516, 1, 10801, 1329, "", 530000, 8
4213, 2, 512, 1, 10801, 1329, "", 530000, 8
4217, 2, 517, 1, 10801, 1329, "", 530000, 8
4221, 2, 513, 1, 10801, 1329, "", 530000, 8
4225, 2, 518, 1, 10801, 1329, "", 530000, 8
4229, 2, 519, 1, 10801, 1329, "", 530000, 8
4233, 2, 515, 1, 10801, 1329, "", 530000, 8
4237, 2, 520, 1, 10801, 1329, "", 530000, 8
4241, 2, 514, 1, 10801, 1329, "", 530000, 8
4301, 2, 509, 1, 10801, 1329, "", 530000, 8
4305, 2, 508, 1, 10801, 1329, "", 530000, 8
4309, 2, 507, 1, 10801, 1329, "", 530000, 8
4313, 2, 510, 1, 10801, 1329, "", 530000, 8
4401, 2, 504, 1, 10801, 1329, "", 530000, 8
4405, 2, 505, 1, 10801, 1329, "", 530000, 8
4409, 2, 502, 1, 10801, 1329, "", 530000, 8
4413, 2, 506, 1, 10801, 1329, "", 530000, 8
4417, 2, 501, 1, 10801, 1329, "", 530000, 8
4421, 2, 500, 1, 10801, 1329, "", 530000, 8
4601, 22, 132, 1, 10801, 1329, "", 530000, 8
4705, 22, 134, 1, 10801, 1329, "", 530000, 8
4713, 22, 141, 1, 10801, 1329, "", 530000, 8
5001, 22, 192, 1, 10801, 1329, "", 530000, 8
5101, 22, 195, 1, 10801, 1329, "", 530000, 8
5201, 22, 205, 1, 10801, 1329, "", 530000, 8
5301, 22, 211, 1, 10801, 1329, "", 530000, 8
5401, 22, 216, 1, 10801, 1329, "", 530000, 8
5501, 22, 162, 1, 10801, 1329, "", 530000, 8
7601, 22, 270, 1, 10801, 1329, "", 530000, 8
117, 22, 160, 1, 10901, 1329, "", 538000, 8
121, 22, 161, 1, 10901, 1329, "", 538000, 8
214, 25, 105, 1, 10901, 1329, "", 538000, 8
309, 22, 12, 1, 10901, 1329, "", 538000, 8
706, 25, 9, 1, 10901, 1329, "", 538000, 8
1405, 22, 45, 1, 10901, 1329, "", 538000, 8
2013, 22, 46, 1, 10901, 1329, "", 538000, 8
2037, 22, 47, 1, 10901, 1329, "", 538000, 8
2801, 22, 234, 1, 10901, 1329, "", 538000, 8
537, 22, 49, 1, 11001, 1329, "", 610000, 8
2033, 22, 42, 1, 11001, 1329, "", 610000, 8
2805, 22, 235, 1, 11001, 1329, "", 610000, 8
4101, 22, 199, 1, 11001, 1329, "", 610000, 8
4701, 22, 133, 1, 11001, 1329, "", 610000, 8
5005, 22, 193, 1, 11001, 1329, "", 610000, 8
5601, 22, 135, 1, 11001, 1329, "", 610000, 8
5801, 22, 182, 1, 11001, 1329, "", 610000, 8
6001, 22, 217, 1, 11001, 1329, "", 610000, 8
6101, 22, 236, 1, 11001, 1329, "", 610000, 8
8430, 25, 50, 1, 11001, 1329, "", 610000, 8
422, 25, 20, 1, 11101, 1329, "", 554000, 8
902, 25, 35, 1, 11101, 1329, "", 554000, 8
2045, 22, 122, 1, 11101, 1329, "", 554000, 8
2109, 22, 114, 1, 11101, 1329, "", 554000, 8
4005, 22, 226, 1, 11101, 1329, "", 554000, 8
5105, 25, 262, 1, 11101, 1329, "", 554000, 8
6201, 22, 220, 1, 11101, 1329, "", 554000, 8
8601, 22, 251, 1, 11101, 1329, "", 554000, 8
8801, 22, 219, 1, 11101, 1329, "", 554000, 8
222, 25, 120, 1, 11201, 1329, "", 562000, 8
1902, 25, 60, 1, 11201, 1329, "", 562000, 8
2002, 25, 63, 1, 11201, 1329, "", 562000, 8
2006, 25, 61, 1, 11201, 1329, "", 562000, 8
6205, 22, 278, 1, 11201, 1329, "", 562000, 8
7010, 25, 10, 1, 11201, 1329, "", 562000, 8
8414, 25, 17, 1, 11301, 1329, "", 618000, 8
9901, 22, 89, 1, 11301, 1329, "", 618000, 8
9905, 22, 69, 1, 11301, 1329, "", 618000, 8
317, 22, 99, 1, 11401, 1329, "", 626000, 8
2049, 25, 48, 1, 11401, 1329, "", 626000, 8
3130, 25, 37, 1, 11401, 1329, "", 626000, 8
